epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.344,1.04232,5.05512,1.60237,0.0063,0.5165,0.02075,0.01247,1.34248,4.15002,2.35162,0.00332776,0.00332776,0.00332776
2,554.22,1.13937,4.43081,1.65246,0.28271,0.22485,0.16062,0.08703,1.59173,3.189,2.53556,0.00662812,0.00662812,0.00662812
3,819.224,1.26804,3.64751,1.71617,0.35713,0.30827,0.24961,0.13789,1.58851,2.86993,2.47711,0.00989548,0.00989548,0.00989548
4,1069.61,1.27948,3.31723,1.70534,0.40505,0.36319,0.34285,0.18467,1.63512,2.56844,2.5455,0.0098515,0.0098515,0.0098515
5,1333.91,1.24379,2.99316,1.66887,0.48675,0.46424,0.48312,0.26957,1.53113,2.17361,2.42767,0.009802,0.009802,0.009802
6,1570.96,1.21413,2.70388,1.64251,0.54286,0.45173,0.5181,0.29516,1.52039,2.03828,2.425,0.0097525,0.0097525,0.0097525
7,1816.12,1.19509,2.45023,1.62047,0.59724,0.56616,0.62079,0.34008,1.5736,1.91095,2.41618,0.009703,0.009703,0.009703
8,2044.73,1.17948,2.28145,1.60936,0.66832,0.5822,0.67194,0.38959,1.48369,1.61351,2.31835,0.0096535,0.0096535,0.0096535
9,2296.72,1.16627,2.1186,1.59171,0.64478,0.62371,0.69927,0.40094,1.48798,1.58158,2.3397,0.009604,0.009604,0.009604
10,2537.66,1.15863,1.98715,1.58938,0.65315,0.65011,0.71596,0.40291,1.50644,1.53586,2.33183,0.0095545,0.0095545,0.0095545
11,2779.07,1.14331,1.89698,1.57593,0.74507,0.66949,0.76397,0.44955,1.44237,1.3514,2.2565,0.009505,0.009505,0.009505
12,3042.28,1.13576,1.81737,1.56807,0.75351,0.716,0.78025,0.4545,1.45519,1.33677,2.28453,0.0094555,0.0094555,0.0094555
13,3338.13,1.12591,1.75474,1.56041,0.77693,0.71925,0.80153,0.46924,1.45134,1.24223,2.29058,0.009406,0.009406,0.009406
14,3583.93,1.10952,1.67025,1.54713,0.75758,0.74619,0.80826,0.46893,1.4736,1.23181,2.36264,0.0093565,0.0093565,0.0093565
15,3781.31,1.10953,1.64573,1.54829,0.80223,0.74977,0.83121,0.48704,1.46236,1.11617,2.31152,0.009307,0.009307,0.009307
16,3981.59,1.09792,1.58136,1.53772,0.81865,0.74239,0.82715,0.48901,1.43354,1.13578,2.28894,0.0092575,0.0092575,0.0092575
17,4197.2,1.09505,1.53431,1.5349,0.80145,0.75809,0.83787,0.48801,1.45486,1.08251,2.30833,0.009208,0.009208,0.009208
18,4377.24,1.08666,1.50368,1.52312,0.82768,0.77417,0.85064,0.49967,1.46214,1.02733,2.33547,0.0091585,0.0091585,0.0091585
19,4591.58,1.07717,1.45503,1.52044,0.79917,0.76863,0.83859,0.49383,1.44064,1.11167,2.30215,0.009109,0.009109,0.009109
20,4789.57,1.07069,1.42487,1.51679,0.83154,0.78544,0.84842,0.50632,1.42168,1.0259,2.27033,0.0090595,0.0090595,0.0090595
21,4982.2,1.06649,1.39405,1.5102,0.82485,0.80499,0.86479,0.50318,1.43882,1.00059,2.30098,0.00901,0.00901,0.00901
22,5173.34,1.06027,1.35557,1.50833,0.82803,0.80937,0.87205,0.51723,1.4286,0.96654,2.31421,0.0089605,0.0089605,0.0089605
23,5396.09,1.04818,1.31938,1.495,0.84692,0.81663,0.88248,0.52482,1.43986,0.94058,2.28216,0.008911,0.008911,0.008911
24,5620.21,1.05621,1.30965,1.49835,0.83866,0.81163,0.88064,0.51517,1.44654,0.91883,2.32425,0.0088615,0.0088615,0.0088615
25,5847.46,1.04044,1.29271,1.49663,0.8596,0.78978,0.87175,0.52163,1.42461,0.90932,2.30442,0.008812,0.008812,0.008812
26,6064.55,1.03142,1.25997,1.48678,0.85495,0.81471,0.88917,0.52461,1.42797,0.87965,2.30837,0.0087625,0.0087625,0.0087625
27,6293.43,1.03046,1.25049,1.48336,0.86324,0.83917,0.89235,0.52324,1.44537,0.86812,2.32134,0.008713,0.008713,0.008713
28,6542.21,1.02775,1.23957,1.48279,0.87707,0.81284,0.87941,0.51796,1.43748,0.8815,2.32942,0.0086635,0.0086635,0.0086635
29,6781.44,1.02619,1.22731,1.47952,0.87542,0.82982,0.90308,0.53541,1.42196,0.85733,2.34373,0.008614,0.008614,0.008614
30,7020.08,1.01382,1.18383,1.47018,0.87848,0.84532,0.90234,0.53681,1.42611,0.81933,2.33678,0.0085645,0.0085645,0.0085645
